0.514336,0.424686,-0.514689
0.532128,0.392678,-0.487819
0.543096,0.392424,-0.487778
0.551823,0.392493,-0.487599
0.500584,0.392081,-0.482704
0.489941,0.391877,-0.482566
0.480592,0.392264,-0.482861
0.565089,0.402352,-0.254414
0.470756,0.404098,-0.227420
0.534229,0.459517,-0.417528
0.493308,0.460997,-0.408000
0.641404,0.566187,-0.084692
0.401975,0.565185,-0.024670
0.707176,0.808994,-0.290687
0.319864,0.808347,-0.322895
0.676620,0.744071,-0.837564
0.357999,0.700249,-0.977008
0.675459,0.735776,-0.938887
0.366030,0.671180,-1.077434
0.663228,0.693605,-0.933142
0.369139,0.642070,-1.074896
0.654105,0.691831,-0.844753
0.373791,0.650506,-0.986533
0.591111,1.013977,-0.012798
0.423574,1.000574,0.014669
0.585112,1.366988,0.040095
0.416982,1.355908,0.105265
0.571880,1.689136,0.343370
0.414634,1.681318,0.357025
0.576061,1.727376,0.356485
0.408436,1.719496,0.372597
0.542311,1.800072,0.041184
0.440890,1.796439,0.025259
0.513131,0.444270,-0.025518
0.480149,0.394686,0.003630
0.549606,0.395932,0.003253
0.489947,0.463037,0.009255
0.537878,0.464097,0.008968
0.513375,0.504342,0.001751
0.686626,0.740175,-0.000000
0.676912,0.689009,-0.009737
0.662903,0.653400,-0.017779
0.643484,0.656733,-0.023614
0.636075,0.692454,-0.030314
0.695196,0.689574,-0.023835
0.679889,0.686408,-0.035271
0.664457,0.681584,-0.044367
0.656815,0.678381,-0.049695
0.690407,0.721312,-0.023255
0.670851,0.719832,-0.030754
0.654506,0.708856,-0.033129
0.650484,0.701428,-0.035778
0.681653,0.747434,-0.022455
0.661696,0.745053,-0.027964
0.646628,0.731730,-0.025741
0.644691,0.723360,-0.023628
0.669887,0.770426,-0.022488
0.654669,0.763492,-0.023433
0.642122,0.750818,-0.019354
0.639404,0.744019,-0.016557
0.337278,0.706984,0.000000
0.344673,0.656489,-0.005086
0.366207,0.621367,-0.012044
0.389805,0.617742,-0.018862
0.401827,0.637891,-0.025579
0.336738,0.647806,-0.017094
0.355000,0.636674,-0.028032
0.374661,0.634716,-0.036824
0.390319,0.638205,-0.042306
0.340723,0.679467,-0.021126
0.377314,0.667052,-0.031139
0.382636,0.661499,-0.032818
0.379091,0.659059,-0.034262
0.348691,0.707658,-0.025292
0.384720,0.692338,-0.031157
0.382695,0.687793,-0.025769
0.373619,0.686671,-0.021900
0.358421,0.732242,-0.030567
0.388665,0.714276,-0.028455
0.385475,0.709849,-0.020010
0.375175,0.712085,-0.014926
