X,Y,Z
0.476775,0.432904,-0.949945
0.495724,0.400777,-0.904007
0.508141,0.401849,-0.903982
0.515875,0.403314,-0.904000
0.460507,0.399316,-0.915852
0.449738,0.399434,-0.915936
0.437280,0.399525,-0.916251
0.530926,0.419687,-0.559987
0.424476,0.414388,-0.607213
0.501310,0.472626,-0.819116
0.452132,0.470366,-0.832239
0.615726,0.628153,-0.303802
0.335910,0.617638,-0.375548
0.682218,0.879476,-0.174338
0.239370,0.878254,-0.249169
0.606783,1.062756,-0.451509
0.315724,1.062508,-0.514616
0.602291,1.138474,-0.533153
0.314650,1.137022,-0.600287
0.573054,1.114353,-0.594486
0.356866,1.110800,-0.651829
0.568029,1.068747,-0.484332
0.357047,1.073576,-0.538810
0.557354,1.154731,-0.010705
0.365872,1.151240,0.012734
0.546687,1.594155,0.065157
0.358518,1.583942,0.010730
0.531075,1.982154,0.532271
0.356425,1.975555,0.327794
0.531828,2.034516,0.554621
0.354790,2.027402,0.344641
0.502422,2.107289,0.136485
0.373849,2.101966,-0.129049
0.473966,0.455700,-0.027049
0.438197,0.402679,0.004297
0.512333,0.408015,0.006936
0.448277,0.477442,0.005697
0.495342,0.480965,0.007372
0.470682,0.519848,-0.001677
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
0.000000,0.000000,0.000000
